Year,Actualized cost
Y0,68121070383.16155
Y1,94954019791.21613
Y2,150951875898.8308
Y3,85790387526.1537
Y4,83249067214.8744
Y5,80891682498.41347
Y6,75131719689.13715
Y7,69541843176.1704
Y8,64923494112.72022
Y9,61678981199.86221
Y10,58671261906.11967
Y11,53288010826.89064
Y12,50160167082.96937
Y13,46967359466.32408
Y14,45249122374.49723
Y15,43441762426.99343
Y16,41887046893.77364
Y17,39482317068.96431
Y18,36964728821.78613
Y19,36856207854.11474
Y20,33323568827.055298
Y21,32020040607.893745
Y22,30315434671.454067
Y23,28596001676.887
Y24,26760744915.0584
Y25,25877741986.512688
Y26,24298878700.82541
Y27,22659491983.45647
Y28,21561448584.305084
Y29,20362194236.12296
Y30,19193377157.265205
Y31,18003298059.59235
Y32,16849216654.214224
Y33,16174319120.262024
Y34,15145563650.251244
Y35,14509327834.25834
Y36,13578398650.465582
Y37,12912811303.972086
Y38,12289042972.172403
Y39,11678953090.93665
Y40,11282949225.170027
Y41,10700799957.139357
Y42,10164738175.664589
Y43,9612416733.211992
Y44,9160929791.202936
Y45,8671340433.570932
Y46,8165493282.931754
Y47,7742582620.795336
Y48,7397213918.27292
Y49,7093641312.339588
Y50,6802430518.037097
